Tweets_text,User_name,Source
  I can t breathe        amp  it s not bc of covid   ,_badgalkariri,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
I m proud to have nominated Cuba s humanitarian brigade of doctors  nurses and other healthcare workers for the 2021 Nob ,philfletchx,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
The  ZodiacKiller gets decoded  Covid 19  ConspiracyTheories rampant on Facebook   experts tell us what to watch fo   ,LawCrimeNetwork,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
 Each kit  which tests a single swab sample  is expected to cost about  30 or less  said Bella Zabinofsky  a spokes   ,Eric_Ginsburg,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
Connor Syme has praised the  amazing  European Tour for restarting the season amid the Covid 19 pandemic and feels   ,BBCSportScot,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>"
President Trump administered the first covid vaccine  NOT Biden   The media will try to tell you otherwise,MartinHayes6,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Let me make this very clear    Neither Trump or Biden had anything to do with the development of the Pfizer COVID vaccine ,toldyoulies,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
I warned y all about this back in April  The Democrats ain t gonna let the Covid  SCAMDEMIC  go  The Vaccine was ju   ,RonaldLabudda,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
Elena  a 104 year old Spanish woman  was applauded as she was discharged from a Madrid hospital after surviving COVID 19   Rea ,MartinBcarer,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
This year    Transpo will once again offer no charge service on NYE  Thx to   Ottawa       Remember to c ,fastrunner2b,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
